web_scraper_order,web_scraper_start_url,category,category_href,category_emoji_character,category_name,category_description,category_emoji_item,category_emoji_item_href,emoji_character,emoji_name,emoji_description,emoji_name_aliases,emoji_apple_name,emoji_unicode_name,emoji_codepoints,emoji_shortcodes,emoji_references
"1573612793-1936","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👩‍🦲 Woman: Bald","https://emojipedia.org/woman-bald/","👩‍🦲","Woman: Bald","The Woman: Bald emoji is a sequence of the 👩 Woman and 🦲 Emoji Component Bald emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman: Bald was added to Emoji 11.0 in 2018.","null","Woman With No Hair","null","U+1F469","null","🦲 Bald
🦱 Curly Hair
🦰 Red Hair
🦳 White Hair
🏻 Light Skin Tone
👱 Person: Blond Hair
👩 Woman
👩‍🦰 Woman: Red Hair"
"1573610890-1067","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🗝 Old Key","https://emojipedia.org/old-key/","🗝️","Old Key","An old-fashioned key, as opens an antique chest or wardrobe. Generally depicted at a 45° angle as a tarnished, silver skeleton key with an ornate, bowed head and two-toothed bit at the bottom left.
Like 🔑 Key, often used figuratively, e.g., the key to success, being key (""crucial""). May also be applied to antiques.
Microsoft’s design is gold, with the head at the upper left. Samsung and Facebook’s keys were previously gold.

Old Key was approved as part of Unicode 7.0 in 2014

and added to Emoji 1.0 in 2015.","null","Old Key","null","U+1F5DD","null","🗝️ on Instagram
🗝️ on Twitter
🗝️ on Wikipedia
🗝️ on Yelp
🗝️ on YouTube
🗝️ on Google Trends
🗝️ on Nomad List"
"1573610882-1063","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🛠 Hammer and Wrench","https://emojipedia.org/hammer-and-wrench/","🛠️","Hammer and Wrench","A hammer and wrench, as kept in a toolbox, crossed in an X shape. Depicted with metal tools facing up, the hammer positioned at the upper left. Most vendors implement the same design as for their 🔨 Hammer and 🔧 Wrench.
Commonly used for various content concerning tools, building, construction, and work, both manual and digital.

Hammer and Wrench was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.","null","Hammer and Wrench","null","U+1F6E0","null","🛠️ on Instagram
🛠️ on Twitter
🛠️ on Wikipedia
🛠️ on Yelp
🛠️ on YouTube
🛠️ on Google Trends
🛠️ on Nomad List"
"1573613056-2047","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤓 Nerd Face","https://emojipedia.org/nerd-face/","🤓","Nerd Face","A yellow face smiling with thick, black-rimmed eyeglasses and buck teeth on most platforms. Styled after a stereotypical nerd, with buck teeth a racist caricature historically mocking East Asians. Some feature white-taped glasses, another nerd trope. Smile and glasses vary across platforms.
Meaning varies, but often used as a self-deprecating but positive way to express or demonstrate someone is being a nerd, i.e., exceptionally technical, knowledgeable, or excited about something, from school to fashion to sports. Also used to represent eyeglasses or someone wearing them more generally.
😎 Smiling Face With Sunglasses wears similarly shaped sunglasses.

Nerd Face was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015.","🤓 Nerdy","Nerdy Face","null","U+1F913","null","🤓 on Instagram
🤓 on Twitter
🤓 on Wikipedia
🤓 on Yelp
🤓 on YouTube
🤓 on Google Trends
🤓 on Nomad List"
"1573612625-1856","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👳‍♂️ Man Wearing Turban","https://emojipedia.org/man-wearing-turban/","👳‍♂️","Man Wearing Turban","The male version of the 👳‍♀️ Woman Wearing Turban emoji.
The Man Wearing Turban emoji is a sequence of the 👳 Man With Turban and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Wearing Turban was added to Emoji 4.0 in 2016.","null","Man With Turban","null","U+1F473","null","👨 Man
🕺 Man Dancing
👲 Man With Skullcap
👳 Person Wearing Turban
🕴️ Man in Suit Levitating
🤵 Man in Tuxedo
👴 Old Man
🏃 Person Running"
"1573611016-1126","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🗞 Rolled-Up Newspaper","https://emojipedia.org/rolled-up-newspaper/","🗞️","Rolled-Up Newspaper","A newspaper rolled up and bound, as for delivery to a house. Generally positioned at a 45° angle. Commonly used for various content concerning news, media, and journalism as well as personal news.
See also 📰 Newspaper.

Rolled-Up Newspaper was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.","🗞️ Newspaper Delivery","Rolled-Up Newspaper","null","U+1F5DE","null","🗞️ on Instagram
🗞️ on Twitter
🗞️ on Wikipedia
🗞️ on Yelp
🗞️ on YouTube
🗞️ on Google Trends
🗞️ on Nomad List"
"1573613020-2030","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😭 Loudly Crying Face","https://emojipedia.org/loudly-crying-face/","😭","Loudly Crying Face","A yellow face with an open mouth wailing and streams of heavy tears flowing from closed eyes. May convey inconsolable grief but also other intense feelings, such as uncontrollable laughter or overwhelming joy.
Not to be confused with 😂 Face With Tears of Joy. Several platforms, including Apple, feature the same mouth as on their 😲 Astonished Face.

Loudly Crying Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","😭 Bawling
😭 Crying
😭 Sad Tears
😭 Sobbing","Loudly Crying Face","null","U+1F62D",":sob:","😲 Astonished Face
🍼 Baby Bottle
🖤 Black Heart
😹 Cat With Tears of Joy
😿 Crying Cat
😢 Crying Face
😞 Disappointed Face
😥 Sad but Relieved Face
😓 Downcast Face With Sweat
😰 Anxious Face With Sweat
🥺 Pleading Face
😂 Face With Tears of Joy
🥴 Woozy Face
🤩 Star-Struck
😔 Pensive Face
😡 Pouting Face
🤣 Rolling on the Floor Laughing
😪 Sleepy Face
🙁 Slightly Frowning Face
🤧 Sneezing Face
💦 Sweat Droplets
😫 Tired Face
😩 Weary Face
☹ Frowning Face
🍷 Wine Glass"
"1573611496-1350","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","⚽","Activity","Emojis for sports, music, the arts, hobbies and other activities.","♟ Chess Pawn","https://emojipedia.org/black-chess-pawn/","♟️","Chess Pawn","Chess Pawn was approved as part of Unicode 1.1 in 1993
under the name “Black Chess Pawn”
and added to Emoji 11.0 in 2018.","null","Chess Pawn","Black Chess Pawn","U+265F","null","♟️ on Instagram
♟️ on Twitter
♟️ on Wikipedia
♟️ on Yelp
♟️ on YouTube
♟️ on Google Trends
♟️ on Nomad List"
"1573612305-1708","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","🦝 Raccoon","https://emojipedia.org/raccoon/","🦝","Raccoon","A raccoon, a nocturnal mammal with a mask around its eyes. Generally depicted as a friendly, cartoon-styled, gray raccoon face looking straight ahead, with black-and-white markings around its eyes and pointed ears and cheeks.
Apple and WhatsApp’s designs feature a raccoon in full profile on all fours facing left with a striped, bushy tail.

Raccoon was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.","null","Raccoon","null","U+1F99D","null","🦝 on Instagram
🦝 on Twitter
🦝 on Wikipedia
🦝 on Yelp
🦝 on YouTube
🦝 on Google Trends
🦝 on Nomad List"
"1573612671-1878","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👩‍🎨 Woman Artist","https://emojipedia.org/female-artist/","👩‍🎨","Woman Artist","The Woman Artist emoji is a sequence of the 👩 Woman and 🎨 Artist Palette emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman Artist was added to Emoji 4.0 in 2016.","null","Woman Artist","null","U+1F469","null","🎨 Artist Palette
🖼 Framed Picture
🖊 Pen
🖍 Crayon
🖋 Fountain Pen
🖌 Paintbrush
👨‍🎨 Man Artist
✏ Pencil
📐 Triangular Ruler"
"1573611251-1238","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","✈ Airplane","https://emojipedia.org/airplane/","✈️","Airplane","Used either as a literal airplane, or sometimes to represent an overseas vacation, or airplane mode on a phone or tablet.
As of July 2018 the airplane emoji has been made available as a new Facebook reaction for users in some markets. This is available in addition to existing emoji reactions such as the thumbs up, heart, or laughing face and appears to be the unintentially result of a internal testing reaction being made public.

Airplane was approved as part of Unicode 1.1 in 1993
and added to Emoji 1.0 in 2015.","✈️ Aeroplane
✈️ Plane","Airplane","null","U+2708",":airplane:","🛬 Airplane Arrival
🛫 Airplane Departure
🐦 Bird
🧭 Compass
🛃 Customs
🦅 Eagle
🇪🇺 Flag: European Union
🕹 Joystick
🧳 Luggage
👨‍✈️ Man Pilot
📦 Package
🚀 Rocket
💺 Seat
🛩 Small Airplane
👩‍✈️ Woman Pilot
🗺 World Map"
"1573612754-1918","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","💁 Person Tipping Hand","https://emojipedia.org/information-desk-person/","💁","Person Tipping Hand","An information desk person, iconically represented in the Apple emoji artwork as a woman holding out her hand as if she were a waitress carrying an invisible tray of drinks.
Can be used for a variety of interpretations, such as sassiness or sarcasm. No gender is specified for this emoji, though the most common representation is as a woman.

Person Tipping Hand was approved as part of Unicode 6.0 in 2010
under the name “Information Desk Person”
and added to Emoji 1.0 in 2015.","💁 Bellhop
💁 Concierge
💁 Hair Flick
💁 Sassy Girl","Information Desk Woman","Information Desk Person","U+1F481",":information_desk_person:","💁 Person Tipping Hand


💁🏻 Person Tipping Hand: Light Skin Tone


💁🏼 Person Tipping Hand: Medium-Light Skin Tone


💁🏽 Person Tipping Hand: Medium Skin Tone


💁🏾 Person Tipping Hand: Medium-Dark Skin Tone


💁🏿 Person Tipping Hand: Dark Skin Tone


💁‍♂️ Man Tipping Hand


💁🏻‍♂️ Man Tipping Hand: Light Skin Tone


💁🏼‍♂️ Man Tipping Hand: Medium-Light Skin Tone


💁🏽‍♂️ Man Tipping Hand: Medium Skin Tone


💁🏾‍♂️ Man Tipping Hand: Medium-Dark Skin Tone


💁🏿‍♂️ Man Tipping Hand: Dark Skin Tone


💁‍♀️ Woman Tipping Hand


💁🏻‍♀️ Woman Tipping Hand: Light Skin Tone


💁🏼‍♀️ Woman Tipping Hand: Medium-Light Skin Tone


💁🏽‍♀️ Woman Tipping Hand: Medium Skin Tone


💁🏾‍♀️ Woman Tipping Hand: Medium-Dark Skin Tone


💁🏿‍♀️ Woman Tipping Hand: Dark Skin Tone"
"1573611995-1568","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","🌥 Sun Behind Large Cloud","https://emojipedia.org/white-sun-behind-cloud/","🌥️","Sun Behind Large Cloud","A yellow sun mostly covered by a large, white cloud. Position of the sun varies across platforms.
May be used as a weather icon to represent a mostly cloudy day.
Not to be confused with ⛅ Sun Behind Cloud or 🌤️ Sun Behind Small Cloud, though their applications may overlap.
Samsung’s cloud was previously bluish.
See the glossary for the term white in Unicode character names.

Sun Behind Large Cloud was approved as part of Unicode 7.0 in 2014
under the name “White Sun Behind Cloud”
and added to Emoji 1.0 in 2015.","null","Sun Behind Large Cloud","White Sun Behind Cloud","U+1F325","null","🌥️ on Instagram
🌥️ on Twitter
🌥️ on Wikipedia
🌥️ on Yelp
🌥️ on YouTube
🌥️ on Google Trends
🌥️ on Nomad List"
"1573611740-1461","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🍭 Lollipop","https://emojipedia.org/lollipop/","🍭","Lollipop","A colorful swirl of hard candy on a stick, called a lollipop. Color varies widely by platform: Google displays rainbow colors, Android shades of pink, and Samsung a candy-cane-colored pinwheel.
""Lollipop"" was the name of version 5 of Google's Android operating system.

Lollipop was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🍭 Lollypop
🍭 Sucker","Lollipop","null","U+1F36D",":lollipop:","🎈 Balloon
🎂 Birthday Cake
👦 Boy
🍬 Candy
🍫 Chocolate Bar
🍪 Cookie
🥤 Cup With Straw
🧁 Cupcake
🍮 Custard
🍡 Dango
🍩 Doughnut
🍟 French Fries
👧 Girl
🍯 Honey Pot
🍨 Ice Cream
🧙 Mage
🍢 Oden
🥧 Pie
🎍 Pine Decoration
🍿 Popcorn
🥨 Pretzel
🌈 Rainbow
🏳️‍🌈 Rainbow Flag
📍 Round Pushpin
🍧 Shaved Ice
🍰 Shortcake
🍦 Soft Ice Cream
👅 Tongue
🍹 Tropical Drink
🦄 Unicorn"
